date,symbol,rank,final_score,confidence,edge_score,edge_signals,momentum_score,premover_score,entry_price,price_7d_later,return_pct_7d,would_have_won_7d,price_14d_later,return_pct_14d,would_have_won_14d,price_21d_later,return_pct_21d,would_have_won_21d
2024-11-27,DASH,1,6.5,4.4,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",6.4,5.7,178.46,175.67,-1.56,False,165.3,-7.37,False,169.6,-4.96,False
2024-11-27,MSFT,2,6.9,6.4,3.0,BREAKOUT_STRUCTURE,4.6,4.8,422.64,446.0,5.53,True,437.16,3.44,True,425.08,0.58,True
2024-11-27,AAPL,3,6.1,4.2,3.0,BREAKOUT_STRUCTURE,5.1,5.7,234.99,246.89,5.06,True,247.95,5.52,True,252.15,7.3,True
2024-11-29,AAPL,1,6.3,4.3,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",5.4,5.8,237.39,247.81,4.39,True,249.73,5.2,True,250.54,5.54,True
2024-11-29,DASH,2,5.8,3.9,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",6.2,5.3,180.47,173.89,-3.65,False,167.57,-7.15,False,167.7,-7.08,False
2024-11-29,MSFT,3,6.3,4.9,3.0,BREAKOUT_STRUCTURE,4.8,4.1,423.63,443.17,4.61,True,437.1,3.18,True,421.7,-0.46,False
2024-12-02,MRVL,1,5.7,3.8,5.0,"MOMENTUM_EXPANSION,RS_LEADER",6.0,5.7,96.86,111.27,14.88,True,112.19,15.83,True,,,
2024-12-02,AAPL,2,5.6,4.3,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",6.0,3.9,239.63,246.46,2.85,True,254.6,6.25,True,,,
2024-12-02,SMCI,3,4.4,3.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.0,4.2,41.98,38.29,-8.79,False,31.51,-24.94,False,,,
2024-12-03,MRVL,1,5.9,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.0,5.6,95.93,108.99,13.61,True,113.11,17.91,True,,,
2024-12-03,TSLA,2,7.1,4.7,2.0,RS_LEADER,7.7,6.1,351.39,418.18,19.01,True,424.7,20.86,True,,,
2024-12-03,DKNG,3,6.5,4.3,3.0,BREAKOUT_STRUCTURE,6.3,6.1,43.95,41.47,-5.64,False,38.46,-12.49,False,,,
2024-12-04,DKNG,1,7.3,4.3,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",5.8,8.4,44.77,39.86,-10.97,False,38.57,-13.85,False,,,
2024-12-04,TSLA,2,7.1,4.8,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.5,6.1,357.73,436.24,21.95,True,462.27,29.22,True,,,
2024-12-04,SQ,3,6.0,4.0,7.0,"BREAKOUT_STRUCTURE,RS_LEADER,VOLATILITY_EXPANSION",7.4,5.7,98.94,92.03,-6.98,False,91.05,-7.97,False,,,
2024-12-05,TSLA,1,7.3,4.6,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.9,7.4,369.4,463.11,25.37,True,454.15,22.94,True,,,
2024-12-05,BILL,2,6.1,4.0,7.0,"BREAKOUT_STRUCTURE,RS_LEADER,VOLATILITY_EXPANSION",7.6,5.9,95.48,87.93,-7.91,False,88.97,-6.82,False,,,
2024-12-05,RBLX,3,5.4,3.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.0,5.2,58.96,61.45,4.22,True,59.93,1.65,True,,,
2024-12-06,GTLB,1,5.2,3.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",5.8,5.1,67.23,59.13,-12.05,False,58.06,-13.64,False,,,
2024-12-06,TSLA,2,5.7,4.6,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.8,2.9,389.27,479.86,23.27,True,431.7,10.9,True,,,
2024-12-06,COIN,3,5.7,4.1,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.9,5.0,343.84,311.49,-9.41,False,265.85,-22.68,False,,,
2024-12-09,TSLA,1,6.7,4.6,4.0,"RS_LEADER,VOLATILITY_EXPANSION",7.8,5.5,389.99,440.49,12.95,True,417.41,7.03,True,,,
2024-12-09,EBAY,2,5.4,3.7,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",5.1,5.5,65.16,64.11,-1.61,False,62.03,-4.8,False,,,
2024-12-09,AAPL,3,5.2,4.1,7.0,"BREAKOUT_STRUCTURE,RS_LEADER,VOLATILITY_EXPANSION",6.4,3.0,246.89,247.95,0.43,True,252.15,2.13,True,,,
2024-12-10,MSFT,1,7.2,5.0,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.1,5.3,443.17,437.1,-1.37,False,421.7,-4.84,False,,,
2024-12-10,GOOGL,2,6.3,4.3,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.6,5.4,185.17,188.44,1.77,True,189.36,2.26,True,,,
2024-12-10,TSLA,3,7.0,4.9,4.0,"RS_LEADER,VOLATILITY_EXPANSION",9.2,4.8,401.0,436.16,8.77,True,403.74,0.68,True,,,
2024-12-11,GOOGL,1,7.2,4.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.8,6.9,195.46,191.5,-2.03,False,,,,,,
2024-12-11,ABNB,2,7.4,6.5,3.0,BREAKOUT_STRUCTURE,6.1,5.3,138.88,134.14,-3.41,False,,,,,,
2024-12-11,AMZN,3,6.2,4.9,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.5,2.6,230.16,225.16,-2.17,False,,,,,,
2024-12-12,NET,1,6.7,4.3,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",9.0,6.2,114.93,111.59,-2.91,False,,,,,,
2024-12-12,ABNB,2,8.3,6.6,0.0,,5.9,7.6,137.48,132.47,-3.64,False,,,,,,
2024-12-12,AMZN,3,6.1,4.9,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.4,2.7,229.03,224.77,-1.86,False,,,,,,
2024-12-13,MRVL,1,6.4,4.3,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",9.2,5.2,120.84,115.99,-4.01,False,,,,,,
2024-12-13,AVGO,2,6.1,4.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.1,4.5,224.83,239.65,6.59,True,,,,,,
2024-12-13,UPST,3,5.1,3.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.6,4.7,84.43,68.51,-18.86,False,,,,,,
2024-12-16,AVGO,1,5.6,4.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.4,2.6,249.99,245.29,-1.88,False,,,,,,
2024-12-16,MU,2,5.4,3.9,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",5.8,4.1,108.24,89.82,-17.02,False,,,,,,
2024-12-16,AMZN,3,6.1,4.8,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.1,2.7,232.95,227.14,-2.49,False,,,,,,
2024-12-17,SHOP,1,7.8,4.9,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.7,7.5,119.44,108.2,-9.41,False,,,,,,
2024-12-17,MRVL,2,6.2,4.5,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.5,4.3,112.24,113.69,1.29,True,,,,,,
2024-12-17,TSLA,3,6.2,5.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",9.4,2.5,479.86,431.7,-10.04,False,,,,,,
2024-12-18,AAPL,1,8.1,7.2,4.0,"RS_LEADER,VOLATILITY_EXPANSION",8.1,5.0,247.95,252.15,1.69,True,,,,,,
2024-12-18,AMZN,2,8.8,7.7,2.0,VOLATILITY_EXPANSION,7.4,5.9,220.49,221.25,0.34,True,,,,,,
2024-12-18,AVGO,3,6.1,4.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",9.7,3.4,223.12,235.47,5.54,True,,,,,,
2024-12-19,AAPL,1,7.7,5.7,4.0,"RS_LEADER,VOLATILITY_EXPANSION",8.4,4.8,249.73,250.54,0.32,True,,,,,,
2024-12-19,TSLA,2,6.6,4.7,4.0,"RS_LEADER,VOLATILITY_EXPANSION",9.6,4.4,436.16,403.74,-7.43,False,,,,,,
2024-12-19,AMZN,3,8.2,7.7,0.0,,8.2,3.9,223.29,219.47,-1.71,False,,,,,,
2024-12-20,AMZN,1,8.3,7.8,2.0,VOLATILITY_EXPANSION,8.3,4.1,225.16,,,,,,,,,
2024-12-20,AAPL,2,7.4,5.3,4.0,"RS_LEADER,VOLATILITY_EXPANSION",9.0,4.6,254.6,,,,,,,,,
2024-12-20,GOOGL,3,6.8,4.9,4.0,"RS_LEADER,VOLATILITY_EXPANSION",9.1,4.2,191.5,,,,,,,,,
2024-12-23,AAPL,1,8.0,5.8,2.0,RS_LEADER,8.9,5.0,254.26,,,,,,,,,
2024-12-23,AMZN,2,8.2,7.7,0.0,,8.0,4.0,224.77,,,,,,,,,
2024-12-23,EBAY,3,6.8,5.1,2.0,RS_LEADER,7.1,4.2,64.02,,,,,,,,,
2024-12-24,AAPL,1,7.6,5.3,2.0,RS_LEADER,9.1,5.2,258.18,,,,,,,,,
2024-12-24,AMZN,2,8.0,7.2,0.0,,8.3,4.6,228.95,,,,,,,,,
2024-12-24,RBLX,3,7.2,5.1,0.0,,8.2,4.9,59.61,,,,,,,,,
2024-12-26,AMZN,1,7.9,6.9,0.0,,7.5,5.4,227.14,,,,,,,,,
2024-12-26,GOOGL,2,7.7,5.5,0.0,,8.8,5.3,195.59,,,,,,,,,
2024-12-26,AVGO,3,6.8,4.5,2.0,RS_LEADER,9.6,5.7,245.29,,,,,,,,,
2024-12-27,AAPL,1,7.7,6.8,2.0,VOLATILITY_EXPANSION,8.1,4.6,255.63,,,,,,,,,
2024-12-27,GOOGL,2,8.1,7.2,0.0,,8.6,5.0,192.76,,,,,,,,,
2024-12-27,AVGO,3,7.0,4.7,2.0,RS_LEADER,9.6,5.6,241.7,,,,,,,,,
2024-12-30,RBLX,1,8.2,5.4,0.0,,7.1,6.6,58.46,,,,,,,,,
2024-12-30,GOOGL,2,8.0,7.1,0.0,,8.5,4.6,191.27,,,,,,,,,
2024-12-30,AAPL,3,7.9,7.3,0.0,,7.6,4.2,252.15,,,,,,,,,
2024-12-31,GOOGL,1,7.8,7.7,0.0,,8.1,2.9,189.36,,,,,,,,,
2024-12-31,AVGO,2,6.7,4.8,2.0,RS_LEADER,9.6,4.6,232.05,,,,,,,,,
2024-12-31,AAPL,3,7.3,7.5,0.0,,7.6,2.1,250.54,,,,,,,,,
