date,symbol,rank,final_score,confidence,edge_score,edge_signals,momentum_score,premover_score,entry_price,price_7d_later,return_pct_7d,would_have_won_7d,spy_return_7d,alpha_7d,price_14d_later,return_pct_14d,would_have_won_14d,spy_return_14d,alpha_14d,price_21d_later,return_pct_21d,would_have_won_21d,spy_return_21d,alpha_21d
2024-06-17,MSFT,2,6.8,4.6,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.7,5.6,442.58,452.56,2.25,True,0.79,1.46,,,,,,,,,,
2024-06-17,SHOP,3,5.5,4.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.9,2.8,67.22,66.39,-1.23,False,0.79,-2.02,,,,,,,,,,
2024-06-18,QCOM,1,7.8,4.7,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.8,7.5,227.89,199.09,-12.64,False,-0.55,-12.09,,,,,,,,,,
2024-06-18,CRWD,2,7.3,4.2,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.6,7.8,389.0,383.06,-1.53,False,-0.55,-0.98,,,,,,,,,,
2024-06-18,TSLA,3,6.4,4.3,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.5,5.3,186.5,197.99,6.16,True,-0.55,6.71,,,,,,,,,,
2024-06-20,MU,1,6.8,4.7,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",9.5,5.1,157.12,,,,,,,,,,,,,,,
2024-06-20,CRWD,2,6.6,4.2,3.0,BREAKOUT_STRUCTURE,8.7,6.0,390.68,,,,,,,,,,,,,,,
2024-06-20,EBAY,3,7.0,4.2,2.0,VOLATILITY_EXPANSION,6.9,7.2,54.69,,,,,,,,,,,,,,,
2024-06-21,NEM,1,6.2,4.0,5.0,"MOMENTUM_EXPANSION,RS_LEADER",6.0,6.5,42.69,,,,,,,,,,,,,,,
2024-06-21,QCOM,2,6.8,5.0,2.0,VOLATILITY_EXPANSION,7.6,4.2,211.51,,,,,,,,,,,,,,,
2024-06-21,MSFT,3,6.3,4.9,3.0,BREAKOUT_STRUCTURE,7.8,3.4,446.79,,,,,,,,,,,,,,,
